# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
      80     -0.25858507E-06     -0.26041462E-06     -0.11062811E-02     -0.76525724E-02
      81     -0.25860042E-06     -0.26041462E-06     -0.11103592E-02     -0.76525724E-02
      82     -0.25861580E-06     -0.26041462E-06     -0.11144161E-02     -0.76525724E-02
      83     -0.25862912E-06     -0.26041462E-06     -0.11182422E-02     -0.76525724E-02
      84     -0.25864216E-06     -0.26041462E-06     -0.11220281E-02     -0.76525724E-02
      85     -0.25865498E-06     -0.26041462E-06     -0.11255986E-02     -0.76525724E-02
      86     -0.25866731E-06     -0.26041462E-06     -0.11291473E-02     -0.76525724E-02
      87     -0.25867837E-06     -0.26041462E-06     -0.11325942E-02     -0.76525724E-02
      88     -0.25868945E-06     -0.26041462E-06     -0.11361086E-02     -0.76525724E-02
      89     -0.25870283E-06     -0.26041462E-06     -0.11395609E-02     -0.76525724E-02
      90     -0.25871579E-06     -0.26041462E-06     -0.11429971E-02     -0.76525724E-02
      91     -0.25872565E-06     -0.26041462E-06     -0.11460757E-02     -0.76525724E-02
      92     -0.25873553E-06     -0.26041462E-06     -0.11491559E-02     -0.76525724E-02
      93     -0.25874900E-06     -0.26041462E-06     -0.11529641E-02     -0.76525724E-02
      94     -0.25876179E-06     -0.26041462E-06     -0.11566941E-02     -0.76525724E-02
      95     -0.25877237E-06     -0.26041462E-06     -0.11600187E-02     -0.76525724E-02
      96     -0.25878287E-06     -0.26041462E-06     -0.11633790E-02     -0.76525724E-02
      97     -0.25879452E-06     -0.26041462E-06     -0.11671619E-02     -0.76525724E-02
      98     -0.25880604E-06     -0.26041462E-06     -0.11709596E-02     -0.76525724E-02
      99     -0.25881515E-06     -0.26041462E-06     -0.11744906E-02     -0.76525724E-02
     100     -0.25882409E-06     -0.26041462E-06     -0.11779460E-02     -0.76525724E-02
     101     -0.25883342E-06     -0.26041462E-06     -0.11817448E-02     -0.76525724E-02
     102     -0.25884281E-06     -0.26041462E-06     -0.11856895E-02     -0.76525724E-02
     103     -0.25885094E-06     -0.26041462E-06     -0.11894684E-02     -0.76525724E-02
     104     -0.25885893E-06     -0.26041462E-06     -0.11932750E-02     -0.76525724E-02
     105     -0.25886679E-06     -0.26041462E-06     -0.11968342E-02     -0.76525724E-02
     106     -0.25887483E-06     -0.26041462E-06     -0.12004749E-02     -0.76525724E-02
     107     -0.25888189E-06     -0.26041462E-06     -0.12039229E-02     -0.76525724E-02
     108     -0.25888911E-06     -0.26041462E-06     -0.12073317E-02     -0.76525724E-02
     109     -0.25889650E-06     -0.26041462E-06     -0.12106603E-02     -0.76525724E-02
     110     -0.25890395E-06     -0.26041462E-06     -0.12140027E-02     -0.76525724E-02
     111     -0.25891114E-06     -0.26041462E-06     -0.12175156E-02     -0.76525724E-02
     112     -0.25891832E-06     -0.26041462E-06     -0.12209968E-02     -0.76525724E-02
     113     -0.25894314E-06     -0.26041462E-06     -0.12330721E-02     -0.76525724E-02
     114     -0.25897990E-06     -0.26041462E-06     -0.12514411E-02     -0.76525724E-02
     115     -0.25900412E-06     -0.26041462E-06     -0.12644621E-02     -0.76525724E-02
     116     -0.25902594E-06     -0.26041462E-06     -0.12761934E-02     -0.76525724E-02
     117     -0.25905468E-06     -0.26041462E-06     -0.12939691E-02     -0.76525724E-02
     118     -0.25908059E-06     -0.26041462E-06     -0.13116025E-02     -0.76525724E-02
     119     -0.25910299E-06     -0.26041462E-06     -0.13315409E-02     -0.76525724E-02
     120     -0.25912359E-06     -0.26041462E-06     -0.13537121E-02     -0.76525724E-02
     121     -0.25914368E-06     -0.26041462E-06     -0.13736698E-02     -0.76525724E-02
     122     -0.25916291E-06     -0.26041462E-06     -0.13896880E-02     -0.76525724E-02
     123     -0.25918200E-06     -0.26041462E-06     -0.14044412E-02     -0.76525724E-02
     124     -0.25919892E-06     -0.26041462E-06     -0.14201628E-02     -0.76525724E-02
     125     -0.25921530E-06     -0.26041462E-06     -0.14346393E-02     -0.76525724E-02
     126     -0.25922983E-06     -0.26041462E-06     -0.14500030E-02     -0.76525724E-02
     127     -0.25925001E-06     -0.26041462E-06     -0.14729710E-02     -0.76525724E-02
     128     -0.25926795E-06     -0.26041462E-06     -0.15077929E-02     -0.76525724E-02
     129     -0.25928494E-06     -0.26041462E-06     -0.15333155E-02     -0.76525724E-02
     130     -0.25930182E-06     -0.26041462E-06     -0.15574155E-02     -0.76525724E-02
     131     -0.25931688E-06     -0.26041462E-06     -0.15792206E-02     -0.76525724E-02
     132     -0.25932742E-06     -0.26041462E-06     -0.15935607E-02     -0.76525724E-02
     133     -0.25934045E-06     -0.26041462E-06     -0.16136445E-02     -0.76525724E-02
     134     -0.25935215E-06     -0.26041462E-06     -0.16401864E-02     -0.76525724E-02
     135     -0.25936582E-06     -0.26041462E-06     -0.16760888E-02     -0.76525724E-02
     136     -0.25937637E-06     -0.26041462E-06     -0.16993926E-02     -0.76525724E-02
     137     -0.25938557E-06     -0.26041462E-06     -0.17223828E-02     -0.76525724E-02
     138     -0.25939678E-06     -0.26041462E-06     -0.17514581E-02     -0.76525724E-02
     139     -0.25940770E-06     -0.26041462E-06     -0.17833575E-02     -0.76525724E-02
     140     -0.25941909E-06     -0.26041462E-06     -0.18104333E-02     -0.76525724E-02
     141     -0.25943016E-06     -0.26041462E-06     -0.18386573E-02     -0.76525724E-02
     142     -0.25944269E-06     -0.26041462E-06     -0.18794809E-02     -0.76525724E-02
     143     -0.25945370E-06     -0.26041462E-06     -0.19119226E-02     -0.76525724E-02
     144     -0.25946550E-06     -0.26041462E-06     -0.19422820E-02     -0.76525724E-02
     145     -0.25947773E-06     -0.26041462E-06     -0.19754187E-02     -0.76525724E-02
     146     -0.25948936E-06     -0.26041462E-06     -0.20105887E-02     -0.76525724E-02
     147     -0.25950253E-06     -0.26041462E-06     -0.20447013E-02     -0.76525724E-02
     148     -0.25951563E-06     -0.26041462E-06     -0.20828278E-02     -0.76525724E-02
     149     -0.25952787E-06     -0.26041462E-06     -0.21269929E-02     -0.76525724E-02
     150     -0.25953996E-06     -0.26041462E-06     -0.21689777E-02     -0.76525724E-02
     151     -0.25955182E-06     -0.26041462E-06     -0.22099149E-02     -0.76525724E-02
     152     -0.25956345E-06     -0.26041462E-06     -0.22500675E-02     -0.76525724E-02
     153     -0.25957673E-06     -0.26041462E-06     -0.22983237E-02     -0.76525724E-02
     154     -0.25959083E-06     -0.26041462E-06     -0.23383913E-02     -0.76525724E-02
     155     -0.25960386E-06     -0.26041462E-06     -0.23753733E-02     -0.76525724E-02
     156     -0.25961704E-06     -0.26041462E-06     -0.24140865E-02     -0.76525724E-02
     157     -0.25963003E-06     -0.26041462E-06     -0.24525394E-02     -0.76525724E-02
     158     -0.25964547E-06     -0.26041462E-06     -0.25128372E-02     -0.76525724E-02
     159     -0.25965901E-06     -0.26041462E-06     -0.25746973E-02     -0.76525724E-02
     160     -0.25967335E-06     -0.26041462E-06     -0.26194903E-02     -0.76525724E-02
     161     -0.25968824E-06     -0.26041462E-06     -0.26623265E-02     -0.76525724E-02
     162     -0.25970243E-06     -0.26041462E-06     -0.27030389E-02     -0.76525724E-02
     163     -0.25971702E-06     -0.26041462E-06     -0.27411991E-02     -0.76525724E-02
     164     -0.25973323E-06     -0.26041462E-06     -0.27985428E-02     -0.76525724E-02
     165     -0.25974881E-06     -0.26041462E-06     -0.28795802E-02     -0.76525724E-02
     166     -0.25976612E-06     -0.26041462E-06     -0.29387982E-02     -0.76525724E-02
     167     -0.25978231E-06     -0.26041462E-06     -0.29885959E-02     -0.76525724E-02
     168     -0.25979908E-06     -0.26041462E-06     -0.30384145E-02     -0.76525724E-02
     169     -0.25981721E-06     -0.26041462E-06     -0.30835586E-02     -0.76525724E-02
     170     -0.25983542E-06     -0.26041462E-06     -0.31441116E-02     -0.76525724E-02
     171     -0.25985352E-06     -0.26041462E-06     -0.32209429E-02     -0.76525724E-02
     172     -0.25986977E-06     -0.26041462E-06     -0.32771858E-02     -0.76525724E-02
     173     -0.25988638E-06     -0.26041462E-06     -0.33385257E-02     -0.76525724E-02
     174     -0.25990203E-06     -0.26041462E-06     -0.33943795E-02     -0.76525724E-02
     175     -0.25991848E-06     -0.26041462E-06     -0.34611565E-02     -0.76525724E-02
     176     -0.25993689E-06     -0.26041462E-06     -0.35241853E-02     -0.76525724E-02
     177     -0.25995508E-06     -0.26041462E-06     -0.35912376E-02     -0.76525724E-02
     178     -0.25997230E-06     -0.26041462E-06     -0.36515346E-02     -0.76525724E-02
     179     -0.25998912E-06     -0.26041462E-06     -0.37226833E-02     -0.76525724E-02
     180     -0.26000507E-06     -0.26041462E-06     -0.38010641E-02     -0.76525724E-02
     181     -0.26002284E-06     -0.26041462E-06     -0.38696035E-02     -0.76525724E-02
     182     -0.26003838E-06     -0.26041462E-06     -0.39368536E-02     -0.76525724E-02
     183     -0.26005421E-06     -0.26041462E-06     -0.40032997E-02     -0.76525724E-02
     184     -0.26007018E-06     -0.26041462E-06     -0.40642738E-02     -0.76525724E-02
     185     -0.26008576E-06     -0.26041462E-06     -0.41380750E-02     -0.76525724E-02
     186     -0.26010157E-06     -0.26041462E-06     -0.41966415E-02     -0.76525724E-02
     187     -0.26011629E-06     -0.26041462E-06     -0.42629912E-02     -0.76525724E-02
     188     -0.26013297E-06     -0.26041462E-06     -0.43274224E-02     -0.76525724E-02
     189     -0.26014641E-06     -0.26041462E-06     -0.43854465E-02     -0.76525724E-02
     190     -0.26015931E-06     -0.26041462E-06     -0.44450528E-02     -0.76525724E-02
     191     -0.26017170E-06     -0.26041462E-06     -0.45005627E-02     -0.76525724E-02
     192     -0.26018430E-06     -0.26041462E-06     -0.45736432E-02     -0.76525724E-02
     193     -0.26019644E-06     -0.26041462E-06     -0.46401852E-02     -0.76525724E-02
     194     -0.26020976E-06     -0.26041462E-06     -0.47035061E-02     -0.76525724E-02
     195     -0.26022157E-06     -0.26041462E-06     -0.47542964E-02     -0.76525724E-02
     196     -0.26023211E-06     -0.26041462E-06     -0.48024350E-02     -0.76525724E-02
     197     -0.26024293E-06     -0.26041462E-06     -0.48774306E-02     -0.76525724E-02
     198     -0.26025281E-06     -0.26041462E-06     -0.49352005E-02     -0.76525724E-02
     199     -0.26026257E-06     -0.26041462E-06     -0.49786512E-02     -0.76525724E-02
     200     -0.26027254E-06     -0.26041462E-06     -0.50194062E-02     -0.76525724E-02
     201     -0.26028236E-06     -0.26041462E-06     -0.50672191E-02     -0.76525724E-02
     202     -0.26029108E-06     -0.26041462E-06     -0.51301452E-02     -0.76525724E-02
     203     -0.26030128E-06     -0.26041462E-06     -0.51726115E-02     -0.76525724E-02
     204     -0.26030935E-06     -0.26041462E-06     -0.52087314E-02     -0.76525724E-02
     205     -0.26031614E-06     -0.26041462E-06     -0.52439322E-02     -0.76525724E-02
     206     -0.26032273E-06     -0.26041462E-06     -0.52866105E-02     -0.76525724E-02
     207     -0.26032918E-06     -0.26041462E-06     -0.53217583E-02     -0.76525724E-02
     208     -0.26033514E-06     -0.26041462E-06     -0.53545360E-02     -0.76525724E-02
     209     -0.26034034E-06     -0.26041462E-06     -0.53823546E-02     -0.76525724E-02
     210     -0.26034511E-06     -0.26041462E-06     -0.54101372E-02     -0.76525724E-02
     211     -0.26034972E-06     -0.26041462E-06     -0.54361518E-02     -0.76525724E-02
     212     -0.26035386E-06     -0.26041462E-06     -0.54620414E-02     -0.76525724E-02
     213     -0.26035748E-06     -0.26041462E-06     -0.54830921E-02     -0.76525724E-02
     214     -0.26036117E-06     -0.26041462E-06     -0.55043024E-02     -0.76525724E-02
     215     -0.26036463E-06     -0.26041462E-06     -0.55261842E-02     -0.76525724E-02
     216     -0.26036792E-06     -0.26041462E-06     -0.55465228E-02     -0.76525724E-02
     217     -0.26037083E-06     -0.26041462E-06     -0.55612307E-02     -0.76525724E-02
     218     -0.26037326E-06     -0.26041462E-06     -0.55783328E-02     -0.76525724E-02
     219     -0.26037534E-06     -0.26041462E-06     -0.55969374E-02     -0.76525724E-02
     220     -0.26037714E-06     -0.26041462E-06     -0.56109888E-02     -0.76525724E-02
     221     -0.26037882E-06     -0.26041462E-06     -0.56244652E-02     -0.76525724E-02
     222     -0.26038035E-06     -0.26041462E-06     -0.56397078E-02     -0.76525724E-02
     223     -0.26038170E-06     -0.26041462E-06     -0.56539264E-02     -0.76525724E-02
     224     -0.26038280E-06     -0.26041462E-06     -0.56659600E-02     -0.76525724E-02
     225     -0.26038376E-06     -0.26041462E-06     -0.56784595E-02     -0.76525724E-02
     226     -0.26038461E-06     -0.26041462E-06     -0.56917443E-02     -0.76525724E-02
     227     -0.26038531E-06     -0.26041462E-06     -0.57041729E-02     -0.76525724E-02
     228     -0.26038598E-06     -0.26041462E-06     -0.57152844E-02     -0.76525724E-02
     229     -0.26038651E-06     -0.26041462E-06     -0.57270696E-02     -0.76525724E-02
     230     -0.26038688E-06     -0.26041462E-06     -0.57382079E-02     -0.76525724E-02
     231     -0.26038720E-06     -0.26041462E-06     -0.57489680E-02     -0.76525724E-02
     232     -0.26038743E-06     -0.26041462E-06     -0.57589545E-02     -0.76525724E-02
     233     -0.26038762E-06     -0.26041462E-06     -0.57690908E-02     -0.76525724E-02
     234     -0.26038776E-06     -0.26041462E-06     -0.57792657E-02     -0.76525724E-02
     235     -0.26038787E-06     -0.26041462E-06     -0.57880791E-02     -0.76525724E-02
     236     -0.26038794E-06     -0.26041462E-06     -0.57971390E-02     -0.76525724E-02
     237     -0.26038799E-06     -0.26041462E-06     -0.58057525E-02     -0.76525724E-02
     238     -0.26038802E-06     -0.26041462E-06     -0.58143668E-02     -0.76525724E-02
     239     -0.26038804E-06     -0.26041462E-06     -0.58226692E-02     -0.76525724E-02
     240     -0.26038806E-06     -0.26041462E-06     -0.58308894E-02     -0.76525724E-02
     241     -0.26038807E-06     -0.26041462E-06     -0.58379080E-02     -0.76525724E-02
     242     -0.26038807E-06     -0.26041462E-06     -0.58456871E-02     -0.76525724E-02
     243     -0.26038808E-06     -0.26041462E-06     -0.58526374E-02     -0.76525724E-02
     244     -0.26038809E-06     -0.26041462E-06     -0.58585964E-02     -0.76525724E-02
     245     -0.26038810E-06     -0.26041462E-06     -0.58650392E-02     -0.76525724E-02
     246     -0.26038811E-06     -0.26041462E-06     -0.58707498E-02     -0.76525724E-02
     247     -0.26038812E-06     -0.26041462E-06     -0.58757904E-02     -0.76525724E-02
     248     -0.26038814E-06     -0.26041462E-06     -0.58805491E-02     -0.76525724E-02
     249     -0.26038816E-06     -0.26041462E-06     -0.58857762E-02     -0.76525724E-02
     250     -0.26038818E-06     -0.26041462E-06     -0.58896394E-02     -0.76525724E-02
     251     -0.26038820E-06     -0.26041462E-06     -0.58935746E-02     -0.76525724E-02
     252     -0.26038822E-06     -0.26041462E-06     -0.58974665E-02     -0.76525724E-02
 
# q=  0.00000000E+00  0.41666667E-01  0.00000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.10412086E-03     -0.44281506E-03     -0.10760759E-03     -0.77224129E-02
       2     -0.20943237E-03     -0.44281506E-03     -0.21092005E-03     -0.77224129E-02
       3     -0.25417484E-03     -0.44281506E-03     -0.32857038E-03     -0.77224129E-02
       4     -0.29417256E-03     -0.44281506E-03     -0.43673270E-03     -0.77224129E-02
       5     -0.32803476E-03     -0.44281506E-03     -0.51801145E-03     -0.77224129E-02
       6     -0.35969884E-03     -0.44281506E-03     -0.60253429E-03     -0.77224129E-02
       7     -0.37132991E-03     -0.44281506E-03     -0.67519828E-03     -0.77224129E-02
       8     -0.38286324E-03     -0.44281506E-03     -0.74758450E-03     -0.77224129E-02
       9     -0.39118507E-03     -0.44281506E-03     -0.76561036E-03     -0.77224129E-02
      10     -0.39891795E-03     -0.44281506E-03     -0.78333347E-03     -0.77224129E-02
      11     -0.40105353E-03     -0.44281506E-03     -0.79291481E-03     -0.77224129E-02
      12     -0.40301227E-03     -0.44281506E-03     -0.80238921E-03     -0.77224129E-02
      13     -0.40567417E-03     -0.44281506E-03     -0.80947860E-03     -0.77224129E-02
      14     -0.40824555E-03     -0.44281506E-03     -0.81646147E-03     -0.77224129E-02
      15     -0.41114822E-03     -0.44281506E-03     -0.82791476E-03     -0.77224129E-02
      16     -0.41403595E-03     -0.44281506E-03     -0.83941921E-03     -0.77224129E-02
      17     -0.41544054E-03     -0.44281506E-03     -0.84401742E-03     -0.77224129E-02
      18     -0.41685973E-03     -0.44281506E-03     -0.84845404E-03     -0.77224129E-02
      19     -0.41851455E-03     -0.44281506E-03     -0.85753794E-03     -0.77224129E-02
      20     -0.42006744E-03     -0.44281506E-03     -0.86682804E-03     -0.77224129E-02
      21     -0.42216221E-03     -0.44281506E-03     -0.87568030E-03     -0.77224129E-02
      22     -0.42424398E-03     -0.44281506E-03     -0.88449086E-03     -0.77224129E-02
      23     -0.42609711E-03     -0.44281506E-03     -0.89407269E-03     -0.77224129E-02
      24     -0.42798458E-03     -0.44281506E-03     -0.90433766E-03     -0.77224129E-02
      25     -0.42862859E-03     -0.44281506E-03     -0.91034912E-03     -0.77224129E-02
      26     -0.42918924E-03     -0.44281506E-03     -0.91617160E-03     -0.77224129E-02
      27     -0.43012374E-03     -0.44281506E-03     -0.92609343E-03     -0.77224129E-02
      28     -0.43107373E-03     -0.44281506E-03     -0.93635163E-03     -0.77224129E-02
      29     -0.43181493E-03     -0.44281506E-03     -0.94519947E-03     -0.77224129E-02
      30     -0.43262120E-03     -0.44281506E-03     -0.95400354E-03     -0.77224129E-02
      31     -0.43311980E-03     -0.44281506E-03     -0.96111453E-03     -0.77224129E-02
      32     -0.43359186E-03     -0.44281506E-03     -0.96900898E-03     -0.77224129E-02
      33     -0.43404705E-03     -0.44281506E-03     -0.97808514E-03     -0.77224129E-02
      34     -0.43450598E-03     -0.44281506E-03     -0.98740466E-03     -0.77224129E-02
      35     -0.43497146E-03     -0.44281506E-03     -0.99385733E-03     -0.77224129E-02
      36     -0.43542465E-03     -0.44281506E-03     -0.10004352E-02     -0.77224129E-02
      37     -0.43565885E-03     -0.44281506E-03     -0.10056806E-02     -0.77224129E-02
      38     -0.43590524E-03     -0.44281506E-03     -0.10112021E-02     -0.77224129E-02
      39     -0.43613278E-03     -0.44281506E-03     -0.10168052E-02     -0.77224129E-02
      40     -0.43635144E-03     -0.44281506E-03     -0.10224450E-02     -0.77224129E-02
      41     -0.43654447E-03     -0.44281506E-03     -0.10271563E-02     -0.77224129E-02
      42     -0.43671959E-03     -0.44281506E-03     -0.10316494E-02     -0.77224129E-02
      43     -0.43692734E-03     -0.44281506E-03     -0.10380080E-02     -0.77224129E-02
      44     -0.43713657E-03     -0.44281506E-03     -0.10447985E-02     -0.77224129E-02
      45     -0.43731204E-03     -0.44281506E-03     -0.10504521E-02     -0.77224129E-02
      46     -0.43747975E-03     -0.44281506E-03     -0.10560828E-02     -0.77224129E-02
      47     -0.43760138E-03     -0.44281506E-03     -0.10606650E-02     -0.77224129E-02
      48     -0.43771125E-03     -0.44281506E-03     -0.10653552E-02     -0.77224129E-02
      49     -0.43784459E-03     -0.44281506E-03     -0.10701255E-02     -0.77224129E-02
      50     -0.43797950E-03     -0.44281506E-03     -0.10749674E-02     -0.77224129E-02
      51     -0.43805788E-03     -0.44281506E-03     -0.10791335E-02     -0.77224129E-02
      52     -0.43813160E-03     -0.44281506E-03     -0.10832320E-02     -0.77224129E-02
      53     -0.43823922E-03     -0.44281506E-03     -0.10872706E-02     -0.77224129E-02
      54     -0.43834802E-03     -0.44281506E-03     -0.10913184E-02     -0.77224129E-02
      55     -0.43841877E-03     -0.44281506E-03     -0.10949147E-02     -0.77224129E-02
      56     -0.43848753E-03     -0.44281506E-03     -0.10985751E-02     -0.77224129E-02
      57     -0.43854792E-03     -0.44281506E-03     -0.11021287E-02     -0.77224129E-02
      58     -0.43860849E-03     -0.44281506E-03     -0.11057437E-02     -0.77224129E-02
      59     -0.43868093E-03     -0.44281506E-03     -0.11098682E-02     -0.77224129E-02
      60     -0.43875189E-03     -0.44281506E-03     -0.11140764E-02     -0.77224129E-02
      61     -0.43880693E-03     -0.44281506E-03     -0.11177888E-02     -0.77224129E-02
      62     -0.43886406E-03     -0.44281506E-03     -0.11215749E-02     -0.77224129E-02
      63     -0.43892363E-03     -0.44281506E-03     -0.11254152E-02     -0.77224129E-02
      64     -0.43897963E-03     -0.44281506E-03     -0.11292592E-02     -0.77224129E-02
      65     -0.43903030E-03     -0.44281506E-03     -0.11331872E-02     -0.77224129E-02
      66     -0.43908049E-03     -0.44281506E-03     -0.11371034E-02     -0.77224129E-02
      67     -0.43913911E-03     -0.44281506E-03     -0.11416530E-02     -0.77224129E-02
      68     -0.43919762E-03     -0.44281506E-03     -0.11462152E-02     -0.77224129E-02
